model,r2_mean,r2_std,mse_mean,mse_std,mae_mean,mae_std,group
erc_xgb__sinkhorn,0.3304616745147119,0.007952309137376528,29.698426671459877,3.035607644855012,3.767726122238109,0.16829297188319722,feature
xgboost__sinkhorn,0.32439327029541,0.0,28.50140837004928,0.0,3.736460083229919,0.0,feature
hist_gbr__vae,0.3075221386035103,0.0,31.21870597070673,0.0,3.874265774550532,0.0,feature
erc_xgb__vae,0.30464651731939324,0.028505217776383256,33.35989966792367,1.9108317376705992,4.045806499282628,0.1707721561442686,feature
sst_xgb__vae,0.2976158157284791,0.0464437631262623,38.14974709352016,7.487290240492818,4.127491883856691,0.33575669700621674,feature
xgboost__vae,0.2906652927841486,0.0,27.850676737689344,0.0,3.8033747222965606,0.0,feature
lightgbm__vae,0.2883152325514366,0.0,41.84967048169377,0.0,4.311120499978934,0.0,feature
hist_gbr__sinkhorn,0.269924718411164,0.0,39.6054996270648,0.0,4.2082751981864215,0.0,feature
lightgbm__sinkhorn,0.2647161265974669,0.0,40.66891610441613,0.0,4.314834215965647,0.0,feature
sst_xgb__sinkhorn,0.16897678352113413,0.04974534304774572,80.65312743721809,13.767973644807617,5.395689232802917,0.45076713134442603,feature
